Linear Regression
min -11.369626622430411
max 0.7786683369341562
median -0.06550056494773815
mean -0.10507407732337223
25th -0.26792180477546007
75th 0.12217760884737922

Ridge
min -11.369626622430411
max 0.7478570460455449
median -0.06634891608577342
mean -0.1070843293165285
25th -0.2707542937706914
75th 0.12193777790551166

AdaBoost Regression
min -9.0
max 1.0
median 0.165042332297046
mean 0.16474505802561049
25th 0.0611579151203247
75th 0.28066644443250277

Random Forest
min -5.70134872743098
max 1.0
median 0.16691567370050603
mean 0.1663998322029695
25th 0.060381044000351575
75th 0.2832022036718095

Cluster Means
min -5.140823797347668
max 0.8460647966712713
median 0.005584191274432326
mean -0.0507863689641659
25th -0.08489109050228166
75th 0.046355499011564355

User Avg. Factor With Cluster Means
min -14.250445168736416
max 0.7927783888018045
median 0.16729983273454452
mean 0.09926551617137676
25th 0.04555557655916276
75th 0.24616991713596612
