Linear Regression
min 0.003370046615600586
max 70.94864296913147
median 0.20702064037322998
mean 0.3480372659128304
25th 0.09499841928482056
75th 0.35004526376724243

Ridge
min 0.00292205810546875
max 3.40974497795105
median 0.4516359567642212
mean 0.5189214622502947
25th 0.21107697486877441
75th 0.7220569849014282

AdaBoost Regression
min 0.003553152084350586
max 183.63628602027893
median 17.349790573120117
mean 20.24557638945174
25th 5.176977217197418
75th 28.245585203170776

Random Forest
min 0.002334117889404297
max 80.27784705162048
median 14.232710838317871
mean 15.909695095055278
25th 4.6018372774124146
75th 25.12695002555847

Cluster Means
min 0.00034999847412109375
max 44.308669090270996
median 0.003720998764038086
mean 0.24414763364754302
25th 0.0013229846954345703
75th 0.03563803434371948

User Avg. Factor With Cluster Means
min 0.0008649826049804688
max 39.12267088890076
median 0.0863415002822876
mean 0.5346709193442736
25th 0.017962276935577393
75th 0.274746835231781
