"1","2003","Dinosaur Planet","0000225+1503380+0000225+1503380","Documentary+Animation+Family"
"2","2004","Isle of Man TT 2004 Review","NaN","NaN"
"3","1997","Character","0213912+0404806+0776926+0233288+0530564+0450453+0485120+0238274+0903567+0324458+0331972+0331995+0208798+0264166+0886239+0893655+0818715+0726397+0373324+0251698+0241106+0649012+0429555+0476716+0648976+0891623+0220188+0685981+0440148+0824822+0922688+1316215+0728367+1316384+0519967+1317207+0690657+0340027+1316692+0417970+0812116+0624017+0465526+1670351+0149286+0314759+0373531+0612223+1316472+0226640+0222039+1316202+1316386+0309409+1314021+1317084+0343293+0904102+1314653+1316382+0378102+1065718+0401570+2974102+1314606+1314434+1317111+1128387+1018788+2517869+0213912+0404806+0776926+0233288+0530564+0450453+0485120+0238274+0903567+0324458+0331972+0331995+0208798+0264166+0886239+0893655+0818715+0726397+0373324+0251698+0241106+0649012+0429555+0476716+0648976+0891623+0220188+0685981+0440148+0824822+0922688+1316215+0728367+1316384+0519967+1317207+0690657+0340027+1316692+0417970+0812116+0624017+0465526+1670351+0149286+0314759+0373531+0612223+1316472+0226640+0222039+1316202+1316386+0309409+1314021+1317084+0343293+0904102+1314653+1316382+0378102+1065718+0401570+2974102+1314606+1314434+1317111+1128387+1018788+2517869","Crime+Drama+Mystery"
"4","1994","Paula Abdul's Get Up & Dance","0000716+0019844+0092034+0310969+0641851+0000716+0019844+0092034+0310969+0641851","Family"
"5","2004","The Rise and Fall of ECW","1046786+0010662+0019155+0019178+0029875+0962102+0030450+0031230+4885365+0038849+0042524+0060093+3793469+0072240+3491501+0081759+0083888+0085774+0089109+3345095+3581590+3370788+1193049+0116318+0117891+1942882+1408447+0130587+0130535+0133754+0143585+0144726+0156401+1312276+0164678+1193063+0175382+4221003+0004842+0180353+1317766+1082878+0197893+1626991+0220110+1212080+1045198+0233591+0235247+0490873+1336449+1180103+0244094+0247794+0264296+1348010+0282310+0284201+0288491+0292551+0298416+0298417+3843116+0298750+0314345+0314975+2314523+1290200+1502093+0346181+0346194+0359086+0362664+0362709+0962219+1025678+0738423+0346139+0382280+2105561+0001356+1435810+0397576+0400523+0400557+4939742+0404927+0405325+0001398+0417816+0410171+1180114+0461142+0472224+0492476+4940838+0508044+4338573+0506610+0518597+0528712+0539357+0543041+0544054+0831930+1035712+0551528+1438826+0573075+0573093+2007661+0581092+0593440+0601000+0605929+0607115+0610835+0613406+2077197+0347595+0621760+0645599+0266261+2333885+4940122+0678815+0683543+0908085+1407632+3601326+0699612+0705049+0705137+0722416+1290309+0726463+0729314+0729865+0743478+0748687+1437392+1765933+1095037+1727897+0766456+0768694+0771308+1628666+0784204+0007262+0799881+1407940+1413528+0810692+0765715+0820580+4940800+0824589+0825992+0825998+0832591+0833693+0836026+0836562+4940135+0838196+0843528+0846971+0849027+0849046+0853252+0854036+0865589+0005512+0885942+0889652+0412885+1753917+0915105+1303067+0924203+0934691+1128531+1368771+0942275+1584888+0949688+0202433+0490915+1046786+0010662+0019155+0019178+0029875+0962102+0030450+0031230+4885365+0038849+0042524+0060093+3793469+0072240+3491501+0081759+0083888+0085774+0089109+3345095+3581590+3370788+1193049+0116318+0117891+1942882+1408447+0130587+0130535+0133754+0143585+0144726+0156401+1312276+0164678+1193063+0175382+4221003+0004842+0180353+1317766+1082878+0197893+1626991+0220110+1212080+1045198+0233591+0235247+0490873+1336449+1180103+0244094+0247794+0264296+1348010+0282310+0284201+0288491+0292551+0298416+0298417+3843116+0298750+0314345+0314975+2314523+1290200+1502093+0346181+0346194+0359086+0362664+0362709+0962219+1025678+0738423+0346139+0382280+2105561+0001356+1435810+0397576+0400523+0400557+4939742+0404927+0405325+0001398+0417816+0410171+1180114+0461142+0472224+0492476+4940838+0508044+4338573+0506610+0518597+0528712+0539357+0543041+0544054+0831930+1035712+0551528+1438826+0573075+0573093+2007661+0581092+0593440+0601000+0605929+0607115+0610835+0613406+2077197+0347595+0621760+0645599+0266261+2333885+4940122+0678815+0683543+0908085+1407632+3601326+0699612+0705049+0705137+0722416+1290309+0726463+0729314+0729865+0743478+0748687+1437392+1765933+1095037+1727897+0766456+0768694+0771308+1628666+0784204+0007262+0799881+1407940+1413528+0810692+0765715+0820580+4940800+0824589+0825992+0825998+0832591+0833693+0836026+0836562+4940135+0838196+0843528+0846971+0849027+0849046+0853252+0854036+0865589+0005512+0885942+0889652+0412885+1753917+0915105+1303067+0924203+0934691+1128531+1368771+0942275+1584888+0949688+0202433+0490915","Documentary+Sport"
"6","1997","Sick","6889335+2948351+0634349+3607899+0004193+3398617+2153041+2028004+2050570+4843300+2024807+1513121+3615351+2162499+3860047+4843161+1476267+4403927+4856044+2963094+3243106+4006448+1757525+6096263+4860924+3202283+4538804+4254353+4276395+5204356+4671264+6889335+2948351+0634349+3607899+0004193+3398617+2153041+2028004+2050570+4843300+2024807+1513121+3615351+2162499+3860047+4843161+1476267+4403927+4856044+2963094+3243106+4006448+1757525+6096263+4860924+3202283+4538804+4254353+4276395+5204356+4671264","Horror+Sci-Fi"
"7","1992","8 Man","0794426+0847114+0043674+0645206+0794425+0620092+0793543+0906712+0193459+0794426+0847114+0043674+0645206+0794425+0620092+0793543+0906712+0193459","Action+Sci-Fi"
"8","2004","What the #$*! Do We Know!?","0559144+0005006+0101152+0047121+0628017+0104594+2217870+1716794+0547045+0001734+0002604+2167930+2175055+1871700+1423984+0493328+1801266+2124351+1657941+0116461+2125171+2164498+0731863+2173422+2163988+2173051+2172829+2124144+2162807+1925572+2172791+0543582+1422609+0628409+0861558+0741398+0765126+0815040+0089710+0153164+2583885+1591088+2172613+1591946+1591996+2167531+1667272+2162466+2124317+1581450+1773426+1688748+1632352+1632427+0164264+1111574+0414403+0754159+0662630+0000680+1170117+0559144+0005006+0101152+0047121+0628017+0104594+2217870+1716794+0547045+0001734+0002604+2167930+2175055+1871700+1423984+0493328+1801266+2124351+1657941+0116461+2125171+2164498+0731863+2173422+2163988+2173051+2172829+2124144+2162807+1925572+2172791+0543582+1422609+0628409+0861558+0741398+0765126+0815040+0089710+0153164+2583885+1591088+2172613+1591946+1591996+2167531+1667272+2162466+2124317+1581450+1773426+1688748+1632352+1632427+0164264+1111574+0414403+0754159+0662630+0000680+1170117","Documentary+Comedy+Drama+Fantasy+Mystery+Sci-Fi"
"9","1991","Class of Nuke 'Em High 2","0111498+0310847+0738058+2365123+0720339+0595465+0206247+0729708+5722309+0307103+0512078+0661025+0296350+0100779+0096637+6536343+1475006+0768671+0829489+2063628+2062418+0369416+0442203+2169729+0685217+0474710+2070478+0598227+0747891+6199751+0442235+6536344+1328458+0669434+1197614+2068305+2063869+2061874+2069105+2065295+0632432+0651188+6536345+0812733+0823023+6536346+0852043+0832529+0949516+0471896+0153805+2064281+0543007+0473460+1866012+0724689+0804234+6536348+2064347+2064965+0429304+0520595+0593722+6536349+2072388+0990085+0429198+2052423+6199753+0159041+0442110+0442206+2069975+2061877+0792403+2062011+2064635+2072998+0792569+2069268+2066124+0885282+0033908+0128060+2064538+0381230+0442207+0934695+0111498+0310847+0738058+2365123+0720339+0595465+0206247+0729708+5722309+0307103+0512078+0661025+0296350+0100779+0096637+6536343+1475006+0768671+0829489+2063628+2062418+0369416+0442203+2169729+0685217+0474710+2070478+0598227+0747891+6199751+0442235+6536344+1328458+0669434+1197614+2068305+2063869+2061874+2069105+2065295+0632432+0651188+6536345+0812733+0823023+6536346+0852043+0832529+0949516+0471896+0153805+2064281+0543007+0473460+1866012+0724689+0804234+6536348+2064347+2064965+0429304+0520595+0593722+6536349+2072388+0990085+0429198+2052423+6199753+0159041+0442110+0442206+2069975+2061877+0792403+2062011+2064635+2072998+0792569+2069268+2066124+0885282+0033908+0128060+2064538+0381230+0442207+0934695","Comedy+Horror+Sci-Fi"
"10","2001","Fighter","0000242+0000288+0010736+0502425+3923953+0569079+3578998+0049099+3599667+2796810+0852256+4136034+0483520+0719982+4209848+3589472+3617800+0033827+0081009+2796754+4201218+2094762+1706772+3519113+4201147+0005145+3850986+0284315+1463169+0182615+1821651+4200555+4200972+4201344+1422549+4200279+4201154+1997163+3295106+0216038+2871061+0140166+3638007+1137707+4200753+4027415+0007491+0238069+4205379+4201106+2690217+4201876+5352674+4201608+4200167+4201129+3796456+1476544+4201389+0751330+4200656+4200468+4200157+4201490+2874957+4200523+4200402+4201978+2763771+2706072+4200823+0918435+0165825+1190376+0192423+1885346+4200635+0159737+2843184+0119354+0580341+0483915+0961765+1035578+0286040+0242988+2892831+3627344+3077057+3842065+2153711+8791788+4578554+2186506+9705777+3539674+2370389+1457945+2104733+3587960+4084424+5544435+4233343+3785197+1388699+2950640+0176301+1089398+1141100+3134827+3543954+4755441+0998870+3772149+5370693+2555012+2902428+1427417+4466597+2642142+4194456+3982827+5172282+2874397+1563346+2653515+4209176+1585038+4290737+3647254+3413370+1591849+3417326+2648761+4494587+4473191+3133923+4825396+8029030+2242385+4760732+7339951+4092658+0453968+4707354+3984374+3682346+4022367+3262927+2945719+4264529+6085634+3520182+6897115+6499181+1796602+3438160+2200128+3992401+2006118+3096946+3880598+4653687+0564560+3054068+3576450+4304151+5857646+1303530+4127730+3433646+4488891+0672451+1759449+4066642+1910176+3296349+3263226+6139029+2087100+4291105+2773136+3495498+0770719+2863877+4391932+2725041+3953676+3929974+4820314+6812221+4755353+6338912+0877599+2698730+8846885+3603628+3322941+3331051+3203822+4141398+3796441+0000242+0000288+0010736+0502425+3923953+0569079+3578998+0049099+3599667+2796810+0852256+4136034+0483520+0719982+4209848+3589472+3617800+0033827+0081009+2796754+4201218+2094762+1706772+3519113+4201147+0005145+3850986+0284315+1463169+0182615+1821651+4200555+4200972+4201344+1422549+4200279+4201154+1997163+3295106+0216038+2871061+0140166+3638007+1137707+4200753+4027415+0007491+0238069+4205379+4201106+2690217+4201876+5352674+4201608+4200167+4201129+3796456+1476544+4201389+0751330+4200656+4200468+4200157+4201490+2874957+4200523+4200402+4201978+2763771+2706072+4200823+0918435+0165825+1190376+0192423+1885346+4200635+0159737+2843184+0119354+0580341+0483915+0961765+1035578+0286040+0242988+2892831+3627344+3077057+3842065+2153711+8791788+4578554+2186506+9705777+3539674+2370389+1457945+2104733+3587960+4084424+5544435+4233343+3785197+1388699+2950640+0176301+1089398+1141100+3134827+3543954+4755441+0998870+3772149+5370693+2555012+2902428+1427417+4466597+2642142+4194456+3982827+5172282+2874397+1563346+2653515+4209176+1585038+4290737+3647254+3413370+1591849+3417326+2648761+4494587+4473191+3133923+4825396+8029030+2242385+4760732+7339951+4092658+0453968+4707354+3984374+3682346+4022367+3262927+2945719+4264529+6085634+3520182+6897115+6499181+1796602+3438160+2200128+3992401+2006118+3096946+3880598+4653687+0564560+3054068+3576450+4304151+5857646+1303530+4127730+3433646+4488891+0672451+1759449+4066642+1910176+3296349+3263226+6139029+2087100+4291105+2773136+3495498+0770719+2863877+4391932+2725041+3953676+3929974+4820314+6812221+4755353+6338912+0877599+2698730+8846885+3603628+3322941+3331051+3203822+4141398+3796441","Biography+Drama+Sport"
