"6391","2001","The Enemy","1470704+0467451+0822278+0051784+0830371+3626876+1180242+2274258+1355409+1747509+1355842+1991476+5561550+5561718+1727648+5562116+1470704+0467451+0822278+0051784+0830371+3626876+1180242+2274258+1355409+1747509+1355842+1991476+5561550+5561718+1727648+5562116","Drama+Horror+Mystery+Thriller+War"
"6392","1965","I Spy: Vol. 20: So Long, Patrick Henry","NaN","NaN"
"6393","1997","Task Force","0000011+0943553+0606998+0000974+0518728+0071636+0392442+0725897+0725891+0730533+0048238+0647752+0599894+0911966+0020665+0027378+0059152+0066856+0094022+0180320+0235282+0287162+0288697+0302664+0314778+0332517+4387781+0390204+0398139+0399989+0418490+0426250+0001414+0448004+0464514+0491132+0540047+0543319+0545198+0549224+0564957+0570222+0571173+0574818+0581248+0639529+0651237+0668113+0712733+0727807+0734352+0752278+0543364+0790279+0792331+0808763+0827517+0864851+0871577+0907278+0908267+0974589+0930239+0938946+0000011+0943553+0606998+0000974+0518728+0071636+0392442+0725897+0725891+0730533+0048238+0647752+0599894+0911966+0020665+0027378+0059152+0066856+0094022+0180320+0235282+0287162+0288697+0302664+0314778+0332517+4387781+0390204+0398139+0399989+0418490+0426250+0001414+0448004+0464514+0491132+0540047+0543319+0545198+0549224+0564957+0570222+0571173+0574818+0581248+0639529+0651237+0668113+0712733+0727807+0734352+0752278+0543364+0790279+0792331+0808763+0827517+0864851+0871577+0907278+0908267+0974589+0930239+0938946","Drama+War"
"6394","1994","Baby's Day Out","0001505+0001223+0001592+0355083+0633223+0000669+0627453+0322182+0941812+0941813+0240502+0352890+0102787+0429805+0376295+0284160+0047876+0139821+0294780+0044893+8625676+0304063+0561534+0353118+0018716+0815299+0505764+0694856+0085903+0283568+1389827+0727260+0723572+0775899+0737178+0625529+0018515+0374226+0381690+0786086+0878865+3461176+3537437+6647956+0745258+0823563+0001505+0001223+0001592+0355083+0633223+0000669+0627453+0322182+0941812+0941813+0240502+0352890+0102787+0429805+0376295+0284160+0047876+0139821+0294780+0044893+8625676+0304063+0561534+0353118+0018716+0815299+0505764+0694856+0085903+0283568+1389827+0727260+0723572+0775899+0737178+0625529+0018515+0374226+0381690+0786086+0878865+3461176+3537437+6647956+0745258+0823563","Adventure+Comedy+Crime+Drama+Family"
"6395","2001","Mutant X: Season 1","NaN","NaN"
"6396","2003","Lilya 4-Ever","0968541+1076060+1220156+1221836+1220289+0690469+1166638+1104656+0439409+1231550+1251220+8255100+1253287+1252017+1157322+1251800+1255128+1252062+1253030+0645806+1252006+0436111+0387087+0258997+1250482+1250747+1250783+1254496+1251595+1254665+1254678+0635523+1253065+1254775+1253252+0959764+1251786+1254145+1254396+1250562+1251067+1251075+0439657+1252290+1252551+1252624+1217505+0946482+0968541+1076060+1220156+1221836+1220289+0690469+1166638+1104656+0439409+1231550+1251220+8255100+1253287+1252017+1157322+1251800+1255128+1252062+1253030+0645806+1252006+0436111+0387087+0258997+1250482+1250747+1250783+1254496+1251595+1254665+1254678+0635523+1253065+1254775+1253252+0959764+1251786+1254145+1254396+1250562+1251067+1251075+0439657+1252290+1252551+1252624+1217505+0946482","Crime+Drama"
"6397","2002","Midsomer Murders: Market for Murder","0626719+0143401+0943857+0083467+0313289+0330601+0363100+0413289+0493513+0500317+0712385+0734668+1467607+0828941+0861354+0889338+0098604+0626719+0143401+0943857+0083467+0313289+0330601+0363100+0413289+0493513+0500317+0712385+0734668+1467607+0828941+0861354+0889338+0098604","Crime+Drama+Mystery"
"6398","1992","Beethoven","0001301+0001372+0427894+0005497+0144938+0440082+0001624+0001804+0000141+0005004+0188778+0428952+0279297+0684338+0203473+8207359+0479686+0448417+0112146+0514535+0314126+0200761+0641237+0003345+0254557+0557467+0517467+0607941+0001828+0941650+0546570+0330687+0571479+5698535+8056963+0692466+0001301+0001372+0427894+0005497+0144938+0440082+0001624+0001804+0000141+0005004+0188778+0428952+0279297+0684338+0203473+8207359+0479686+0448417+0112146+0514535+0314126+0200761+0641237+0003345+0254557+0557467+0517467+0607941+0001828+0941650+0546570+0330687+0571479+5698535+8056963+0692466","Comedy+Drama+Family"
"6399","2002","I Am Trying to Break Your Heart: A Film About Wilco: Bonus Material","NaN","NaN"
"6400","2002","Catch Me If You Can: Bonus Material","NaN","NaN"
"6401","2001","Iron Chef USA","0000638+1080017+1076500+1077393+1080093+0121221+0266611+0005264+0005378+0897358+0000638+1080017+1076500+1077393+1080093+0121221+0266611+0005264+0005378+0897358","Documentary"
"6402","1982","Penitentiary 2","0925585+0411531+0689507+0817357+0938816+0154069+0209519+0229200+0593228+0419564+2849292+2848519+2841993+2823046+2823065+2848609+2848806+2848434+0949371+2823064+2849149+2848862+2849533+0831347+0615393+0370807+2849666+0410358+0661445+2823067+0549236+2848878+0266668+2823212+2849238+2848447+3543369+2823136+2848569+2848675+0218492+1100951+2848427+2848996+2849397+0789762+2848448+3543470+2849334+2849404+2823037+2849504+2849409+3542836+3544909+2849219+2823085+2849593+2848956+2849640+2849240+2823118+2849039+2848715+2849195+2849333+0289351+0925585+0411531+0689507+0817357+0938816+0154069+0209519+0229200+0593228+0419564+2849292+2848519+2841993+2823046+2823065+2848609+2848806+2848434+0949371+2823064+2849149+2848862+2849533+0831347+0615393+0370807+2849666+0410358+0661445+2823067+0549236+2848878+0266668+2823212+2849238+2848447+3543369+2823136+2848569+2848675+0218492+1100951+2848427+2848996+2849397+0789762+2848448+3543470+2849334+2849404+2823037+2849504+2849409+3542836+3544909+2849219+2823085+2849593+2848956+2849640+2849240+2823118+2849039+2848715+2849195+2849333+0289351","Crime+Drama+Sport"
