Linear Regression
min 0.0850835313931704
max 14.843551946916495
median 1.222311700927504
mean 1.2940533766210833
25th 0.9644434786096058
75th 1.5267984630793519

Ridge
min 0.0850835313931704
max 14.843551946916495
median 1.2217559991224913
mean 1.296334272573393
25th 0.9655187146093019
75th 1.5288529518100888

AdaBoost Regression
min 0.0
max 12.5
median 0.9314247873745349
mean 0.9845081150419465
25th 0.7667285913740383
75th 1.143290132150119

Random Forest
min 0.0
max 10.0
median 0.9284051520550203
mean 0.9822999335874719
25th 0.7629162618460041
75th 1.1406773903989675

Cluster Means
min 0.055555567
max 9.53125
median 1.1753281
mean 1.2589966
25th 0.9818383306264877
75th 1.4531537592411041

User Avg. Factor With Cluster Means
min 0.2038426531741993
max 15.747229854110248
median 0.9810285935717136
mean 1.0656172463178748
25th 0.8074265701518983
75th 1.2271109659729669
